"MULTIPOLYGON(((119.9770723 30.2902654,119.977244 30.2903128,119.9772521 30.2902948,119.9790054 30.2907884,119.9789998 30.2908117,119.9791628 30.2908509,119.9792479 30.2906045,119.9790931 30.2905608,119.9790796 30.2905827,119.9773232 30.2900928,119.9773315 30.2900658,119.9771732 30.2900179,119.9770723 30.2902654)))","5.20"
"MULTIPOLYGON(((119.9943884 30.272405,119.9944568 30.2724164,119.9944837 30.2723094,119.9944151 30.2722939,119.9943884 30.272405)))","7.80"
"MULTIPOLYGON(((119.9977044 30.2933037,119.9977704 30.2933249,119.9978216 30.293206,119.9977556 30.2931848,119.9977044 30.2933037)))","9.42"
"MULTIPOLYGON(((119.9977844 30.2934232,119.9978785 30.2934576,119.9979019 30.29341,119.9978077 30.2933756,119.9977844 30.2934232)))","8.25"
"MULTIPOLYGON(((119.9973451 30.2926454,119.9974433 30.2926708,119.9974584 30.2926273,119.9973603 30.2926019,119.9973451 30.2926454)))","7.67"
"MULTIPOLYGON(((119.9941524 30.2913475,119.9943531 30.2913685,119.99436 30.2913191,119.9941593 30.2912981,119.9941524 30.2913475)))","9.84"
"MULTIPOLYGON(((119.9853107 30.2891918,119.9854362 30.2892358,119.9854754 30.2891526,119.9853499 30.2891085,119.9853107 30.2891918)))","15.50"
"MULTIPOLYGON(((119.999287 30.282872,119.9996317 30.282972,119.9996942 30.2828116,119.9993494 30.2827115,119.999287 30.282872)))","106.64"
"MULTIPOLYGON(((120.0059518 30.2907792,120.0064363 30.2909209,120.0064915 30.2907799,120.0066533 30.2908272,120.0066907 30.290732,120.006203 30.2905894,120.0061626 30.2906924,120.006004 30.290646,120.0059518 30.2907792)))","53.83"
"MULTIPOLYGON(((120.0067488 30.2939333,120.0068731 30.2939939,120.0070111 30.2937831,120.0068867 30.2937225,120.0067488 30.2939333)))","22.79"
"MULTIPOLYGON(((120.0097521 30.2863347,120.0099117 30.2863822,120.0099137 30.2863961,120.0099398 30.2864031,120.0099479 30.286395,120.009966 30.2864002,120.0099673 30.286406,120.0099961 30.2864152,120.0099998 30.2864106,120.0101691 30.2864569,120.0102275 30.286304,120.0098097 30.286179,120.0097521 30.2863347)))","47.57"
"MULTIPOLYGON(((120.0007693 30.2812327,120.0009356 30.2812718,120.0009873 30.2811078,120.0007874 30.2810608,120.0007758 30.2810977,120.0008094 30.2811056,120.0007693 30.2812327)))","26.76"
"MULTIPOLYGON(((120.0016277 30.2806515,120.0017956 30.2806892,120.0018452 30.2805246,120.0016424 30.2804791,120.0016324 30.2805125,120.0016672 30.2805203,120.0016277 30.2806515)))","18.47"
"MULTIPOLYGON(((119.9946871 30.2875105,119.9949367 30.2875796,119.9950569 30.2872444,119.994795 30.2871806,119.9946871 30.2875105)))","25.76"
"MULTIPOLYGON(((120.0087563 30.2797236,120.0092413 30.279866,120.0093555 30.2795759,120.0090286 30.27948,120.0089733 30.2796207,120.0088151 30.2795742,120.0087563 30.2797236)))","48.91"
"MULTIPOLYGON(((120.0060484 30.2884076,120.0065595 30.2885618,120.0067013 30.2883992,120.0066059 30.2883654,120.0061169 30.2882028,120.0060484 30.2884076)))","49.85"
"MULTIPOLYGON(((120.0056687 30.2872557,120.0060908 30.2873816,120.0061566 30.2872171,120.0057345 30.2870912,120.0056687 30.2872557)))","48.96"
"MULTIPOLYGON(((119.9995106 30.2933466,119.9998885 30.2934805,119.9998938 30.2934682,120.0001527 30.293566,120.0002111 30.2934315,120.0000715 30.2933863,120.0000858 30.2933532,119.9999261 30.2933015,119.9999332 30.293273,119.9998581 30.2932458,119.9998406 30.2932739,119.999697 30.2932274,119.9996704 30.2932887,119.9995523 30.2932505,119.9995378 30.293284,119.9995106 30.2933466)))","20.57"
"MULTIPOLYGON(((119.9919409 30.2845986,119.9926034 30.2847871,119.9926536 30.2846554,119.9919912 30.284467,119.9919409 30.2845986)))","145.53"
"MULTIPOLYGON(((119.9875107 30.2907435,119.9879961 30.2908909,119.9882609 30.290426,119.9877373 30.2902482,119.9875107 30.2907435)))","7.61"
"MULTIPOLYGON(((119.9884981 30.2820389,119.9891608 30.2822642,119.9892145 30.2821465,119.9885518 30.2819212,119.9884981 30.2820389)))","81.57"
"MULTIPOLYGON(((119.9884429 30.2880617,119.9888317 30.288205,119.9888911 30.2880848,119.9886679 30.2880025,119.9887139 30.2879094,119.9889283 30.2879884,119.9889963 30.2878507,119.988524 30.2876765,119.9884747 30.2877763,119.9885671 30.2878104,119.9884429 30.2880617)))","13.91"
"MULTIPOLYGON(((119.988442 30.2858091,119.9888146 30.2859186,119.9888514 30.2858251,119.9884788 30.2857157,119.988442 30.2858091)))","34.00"
"MULTIPOLYGON(((119.9858659 30.2852857,119.9863299 30.2854108,119.9863675 30.2853228,119.9859061 30.2852023,119.9858659 30.2852857)))","35.00"
"MULTIPOLYGON(((119.9857642 30.2841001,119.9861727 30.284235,119.9862109 30.2841489,119.9858024 30.2840139,119.9857642 30.2841001)))","26.51"
"MULTIPOLYGON(((119.9859992 30.2794457,119.9862208 30.2794674,119.9862453 30.2792807,119.9860237 30.2792591,119.9859992 30.2794457)))","63.26"
"MULTIPOLYGON(((119.9867476 30.2802009,119.9869692 30.2802225,119.9869936 30.2800358,119.986772 30.2800142,119.9867476 30.2802009)))","67.83"
